0,1,2
россия 1,8.01,3.88
первый канал,6.91,4.31
нтв,5.59,3.28
рен тв,5.39,3.41
тнт,3.52,2.3
стс,3.42,2.93
россия 24,2.66,2.4
домашний,2.64,1.65
пятница,2.56,1.78
5 канал,2.17,1.7
мосфильм. золотая коллекция hd,2.13,1.98
тв центр,1.85,1.77
ю,1.81,1.12
тв3,1.61,1.83
мульт hd,1.53,0.86
россия 1 hd,1.34,1.09
звезда,1.32,1.79
матч! тв,1.3,1.45
русский роман,1.29,1.0
мир,1.05,1.31
первый канал hd,1.04,1.08
карусель,1.01,0.96
солнце,0.93,0.8
viju tv1000 action,0.83,1.35
русский детектив,0.73,0.59
кино тв hd,0.71,1.3
нст,0.57,0.96
мультимузыка,0.57,0.41
волжский+ (powernet),0.57,1.04
русский бестселлер,0.55,0.66
нтв-хит,0.52,0.49
тнт4,0.5,0.71
viju tv1000,0.47,1.19
кинопоказ,0.44,1.32
cinema,0.4,1.27
день победы hd,0.39,1.14
комедия,0.37,0.99
viju tv1000 русское,0.33,1.28
блокбастер hd,0.33,1.15
detectivejam hd (тест),0.32,0.58
суббота!,0.3,0.52
отр,0.27,1.25
стс love,0.23,0.49
россия к,0.21,1.19
чижик hd,0.2,0.7
че,0.19,0.56
ultra hd cinema hd,0.15,0.9
муз,0.15,0.78
спас,0.14,0.89
scream hd,0.12,0.77
kinojam 2 hd (тест),0.08,0.91
kinojam 1 hd (тест),0.08,1.04
сарафан,0.07,0.61
нтв-сериал hd,0.05,0.4
нтв-стиль hd,0.05,0.42
bolt hd,0.05,0.56
нтв-право,0.02,0.39
нтв hd,0.01,0.44
тнт hd,0.0,0.42
волгоград 24 hd,0.0,0.96
bridge classic,-0.03,0.26
любимое кино,-0.03,0.81
живая планета,-0.03,0.32
ultra hd cinema,-0.04,0.86
рыжий,-0.04,0.37
матч! тв hd,-0.04,0.21
star cinema hd,-0.04,0.48
еврокино,-0.04,0.91
русский иллюзион,-0.05,0.77
.black,-0.06,0.48
иллюзион плюс,-0.07,0.76
дорама hd,-0.07,0.27
viju nature,-0.07,0.32
красная линия,-0.07,0.26
рбк,-0.08,0.23
мтв,-0.09,0.74
рыболов,-0.1,0.4
в гостях у сказки,-0.11,0.4
охотник и рыболов hd,-0.11,0.39
диалоги о рыбалке,-0.11,0.43
familyjam hd (тест),-0.12,0.49
viju explore,-0.12,0.29
star family hd,-0.14,0.52
bridge шлягер,-0.14,0.27
ретро,-0.14,0.61
2x2,-0.14,0.32
уникум,-0.15,0.31
арсенал hd,-0.15,0.38
тайна,-0.15,0.57
tv xxi,-0.15,0.62
охота и рыбалка,-0.15,0.38
наука 2.0,-0.15,0.23
волгоград 1 hd,-0.16,0.62
телепутешествия,-0.17,0.23
приключения hd,-0.17,0.29
моя планета,-0.17,0.29
zоопарк,-0.17,0.27
усадьба,-0.18,0.21
bridge deluxe,-0.18,0.13
viju history,-0.18,0.28
т24,-0.18,0.38
bridge hits,-0.19,0.18
советское кино,-0.19,0.5
ru tv,-0.2,0.16
bollywood hd,-0.2,0.29
e,-0.2,0.14
zoo tv,-0.2,0.29
bridge фрэш,-0.21,0.17
загородный,-0.22,0.21
europa plus tv,-0.22,0.18
тнт music,-0.22,0.16
история,-0.22,0.21
bridge русский хит,-0.24,0.17
вопросы и ответы,-0.24,0.11
rtg,-0.24,0.12
9 волна,-0.24,0.13
старт hd,-0.24,0.1
rtg hd,-0.25,0.16
russian extreme,-0.25,0.16
bridge,-0.25,0.13
viju+ sport,-0.25,0.13
bridge rock,-0.26,0.14
первый космический hd,-0.26,0.23
shopping live,-0.26,0.12
sumiko hd,-0.27,0.17
союз,-0.27,0.04
спортивный hd,-0.27,0.09
нано,-0.27,0.12
телеканал народной музыки hd,-0.27,0.13
кубань 24,-0.27,0.11
театр,-0.28,0.32
ювелирочка,-0.28,0.07
тонус тв,-0.28,0.07
калейдоскоп тв,-0.28,0.08
радио вести фм,-0.28,0.02
домашние животные,-0.28,0.19
футбол hd,-0.28,0.09
просвещение,-0.28,0.08
футбольный hd,-0.28,0.07
радио россии,-0.28,0.06
russia today doc hd,-0.28,0.11
живи активно hd,-0.28,0.13
вместе-рф,-0.29,0.08
о!2 тв hd,-0.29,0.12
беларусь 24,-0.29,0.07
leomax24,-0.29,0.07
здоровое тв,-0.29,0.09
радио маяк,-0.29,0.03
мир 24,-0.29,0.09
360 hd,-0.29,0.08
da vinci,-0.29,0.13
luxury,-0.29,0.06
хоккейный hd,-0.29,0.04
russia today,-0.29,0.06
астрахань 24 hd,-0.29,0.08
три ангела,-0.29,0.04
психология-21,-0.29,0.06
тнв планета,-0.29,0.06
грозный,-0.29,0.06
8 канал,-0.29,0.04
мама,-0.29,0.02
