0,1,2
россия 1,8.11,3.88
первый канал,7.01,4.31
нтв,5.69,3.28
рен тв,5.49,3.41
тнт,3.62,2.3
стс,3.52,2.93
россия 24,2.76,2.4
домашний,2.74,1.65
пятница,2.66,1.78
5 канал,2.27,1.7
мосфильм. золотая коллекция hd,2.23,1.98
тв центр,1.95,1.77
ю,1.91,1.12
тв3,1.71,1.83
мульт hd,1.63,0.86
россия 1 hd,1.44,1.09
звезда,1.42,1.79
матч! тв,1.4,1.45
русский роман,1.39,1.0
мир,1.15,1.31
первый канал hd,1.14,1.08
карусель,1.11,0.96
солнце,1.03,0.8
viju tv1000 action,0.93,1.35
русский детектив,0.83,0.59
кино тв hd,0.81,1.3
нст,0.67,0.96
мультимузыка,0.67,0.41
волжский+ (powernet),0.67,1.04
русский бестселлер,0.65,0.66
нтв-хит,0.62,0.49
тнт4,0.6,0.71
viju tv1000,0.57,1.19
кинопоказ,0.54,1.32
cinema,0.5,1.27
день победы hd,0.49,1.14
комедия,0.47,0.99
viju tv1000 русское,0.43,1.28
блокбастер hd,0.43,1.15
detectivejam hd (тест),0.42,0.58
суббота!,0.4,0.52
отр,0.37,1.25
стс love,0.33,0.49
россия к,0.31,1.19
чижик hd,0.3,0.7
че,0.29,0.56
ultra hd cinema hd,0.25,0.9
муз,0.25,0.78
спас,0.24,0.89
scream hd,0.22,0.77
kinojam 2 hd (тест),0.18,0.91
kinojam 1 hd (тест),0.18,1.04
сарафан,0.17,0.61
нтв-сериал hd,0.15,0.4
нтв-стиль hd,0.15,0.42
bolt hd,0.15,0.56
нтв-право,0.12,0.39
нтв hd,0.11,0.44
тнт hd,0.1,0.42
волгоград 24 hd,0.1,0.96
bridge classic,0.07,0.26
любимое кино,0.07,0.81
живая планета,0.07,0.32
ultra hd cinema,0.06,0.86
рыжий,0.06,0.37
матч! тв hd,0.06,0.21
star cinema hd,0.06,0.48
еврокино,0.06,0.91
русский иллюзион,0.05,0.77
.black,0.04,0.48
иллюзион плюс,0.03,0.76
дорама hd,0.03,0.27
viju nature,0.03,0.32
красная линия,0.03,0.26
рбк,0.02,0.23
мтв,0.01,0.74
рыболов,0.0,0.4
в гостях у сказки,-0.01,0.4
охотник и рыболов hd,-0.01,0.39
диалоги о рыбалке,-0.01,0.43
familyjam hd (тест),-0.02,0.49
viju explore,-0.02,0.29
star family hd,-0.04,0.52
bridge шлягер,-0.04,0.27
ретро,-0.04,0.61
2x2,-0.04,0.32
уникум,-0.05,0.31
арсенал hd,-0.05,0.38
тайна,-0.05,0.57
tv xxi,-0.05,0.62
охота и рыбалка,-0.05,0.38
наука 2.0,-0.05,0.23
волгоград 1 hd,-0.06,0.62
телепутешествия,-0.07,0.23
приключения hd,-0.07,0.29
моя планета,-0.07,0.29
zоопарк,-0.07,0.27
усадьба,-0.08,0.21
bridge deluxe,-0.08,0.13
viju history,-0.08,0.28
т24,-0.08,0.38
bridge hits,-0.09,0.18
советское кино,-0.09,0.5
ru tv,-0.1,0.16
bollywood hd,-0.1,0.29
e,-0.1,0.14
zoo tv,-0.1,0.29
bridge фрэш,-0.11,0.17
загородный,-0.12,0.21
europa plus tv,-0.12,0.18
тнт music,-0.12,0.16
история,-0.12,0.21
bridge русский хит,-0.14,0.17
вопросы и ответы,-0.14,0.11
rtg,-0.14,0.12
9 волна,-0.14,0.13
старт hd,-0.14,0.1
rtg hd,-0.15,0.16
russian extreme,-0.15,0.16
bridge,-0.15,0.13
viju+ sport,-0.15,0.13
bridge rock,-0.16,0.14
первый космический hd,-0.16,0.23
shopping live,-0.16,0.12
sumiko hd,-0.17,0.17
союз,-0.17,0.04
спортивный hd,-0.17,0.09
нано,-0.17,0.12
телеканал народной музыки hd,-0.17,0.13
кубань 24,-0.17,0.11
театр,-0.18,0.32
ювелирочка,-0.18,0.07
тонус тв,-0.18,0.07
калейдоскоп тв,-0.18,0.08
радио вести фм,-0.18,0.02
домашние животные,-0.18,0.19
футбол hd,-0.18,0.09
просвещение,-0.18,0.08
футбольный hd,-0.18,0.07
радио россии,-0.18,0.06
russia today doc hd,-0.18,0.11
живи активно hd,-0.18,0.13
вместе-рф,-0.19,0.08
о!2 тв hd,-0.19,0.12
беларусь 24,-0.19,0.07
leomax24,-0.19,0.07
здоровое тв,-0.19,0.09
радио маяк,-0.19,0.03
мир 24,-0.19,0.09
360 hd,-0.19,0.08
da vinci,-0.19,0.13
luxury,-0.19,0.06
хоккейный hd,-0.19,0.04
russia today,-0.19,0.06
астрахань 24 hd,-0.19,0.08
три ангела,-0.19,0.04
психология-21,-0.19,0.06
тнв планета,-0.19,0.06
грозный,-0.19,0.06
8 канал,-0.19,0.04
мама,-0.19,0.02
